DELETION LOG
============
[Deleted] /Volumes/CeeJay SSD/HDD_Import_20260131/Jayboi_Services_Training/Jayboi_Services_LLC_Training_Guide.pdf (1358494 bytes)
[Deleted] /Volumes/CeeJay SSD/HDD_Import_20260131/Documents/Jayboi_Services_LLC_Training_Guide.pdf (1358494 bytes)
[Deleted] /Volumes/CeeJay SSD/HDD_Import_20260131/Documents/Jayboi_Services_Training/Jayboi_Services_LLC_Training_Guide.pdf (1358494 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/Dispatch_App_Backup.zip (2145877 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/content_backup/project_backup.zip (2145877 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/index.html (2551 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/tailwind.config.js (496 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/PRODUCTION_DEPLOYMENT.md (6455 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/vite.config.js (891 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/README.md (2710 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/DEPLOYMENT.md (5023 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/AUDIT_REPORT.md (2656 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/deploy.sh (1184 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/production-bundle/push-images.sh (1184 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/docker-compose.yml (1061 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/eslint.config.js (758 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/extension/eslint.config.js (758 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Tech Trap Solutions/app/eslint.config.js (758 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/lead puller/TOOLS_GUIDE.md (758 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/FINAL_VERIFICATION_REPORT.md (8100 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/postcss.config.js (92 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/VERIFICATION_REPORT.md (7410 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/dist/workbox-8c29f6e4.js (15123 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/ios/App/App/public/workbox-8c29f6e4.js (15123 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/android/app/src/main/assets/public/workbox-8c29f6e4.js (15123 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/extension/dist/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/extension/public/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/dist/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/ios/App/App/public/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/public/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/android/app/src/main/assets/public/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Tech Trap Solutions/app/dist/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Tech Trap Solutions/app/public/vite.svg (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/lead puller/tools/handshake.py (1497 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/dist/registerSW.js (134 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/ios/App/App/public/registerSW.js (134 bytes)
